experiment,pioreactor_unit,timestamp,temperature_c,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T04:29:53.407Z,29.98,2025-09-19 06:29:53.407,5.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T04:33:13.407Z,29.84,2025-09-19 06:33:13.407,5.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T04:36:33.408Z,29.98,2025-09-19 06:36:33.408,5.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T04:39:53.407Z,29.89,2025-09-19 06:39:53.407,5.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T04:43:13.406Z,30.03,2025-09-19 06:43:13.406,5.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T04:46:33.407Z,29.95,2025-09-19 06:46:33.407,5.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T04:49:53.407Z,29.85,2025-09-19 06:49:53.407,5.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T04:53:13.407Z,29.88,2025-09-19 06:53:13.407,5.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T04:56:33.408Z,30.02,2025-09-19 06:56:33.408,5.6225
Long Yeast Grow,pioreactor02,2025-09-19T04:59:53.408Z,29.96,2025-09-19 06:59:53.408,5.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T05:03:13.408Z,30.11,2025-09-19 07:03:13.408,5.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T05:06:33.408Z,30.14,2025-09-19 07:06:33.408,5.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T05:09:53.408Z,30.0,2025-09-19 07:09:53.408,5.844722222222
Long Yeast Grow,pioreactor02,2025-09-19T05:13:13.408Z,30.11,2025-09-19 07:13:13.408,5.900277777778
Long Yeast Grow,pioreactor02,2025-09-19T05:16:33.408Z,30.11,2025-09-19 07:16:33.408,5.955833333333
Long Yeast Grow,pioreactor02,2025-09-19T05:19:53.407Z,29.9,2025-09-19 07:19:53.407,6.011388888889
Long Yeast Grow,pioreactor02,2025-09-19T05:23:13.406Z,29.86,2025-09-19 07:23:13.406,6.066944444444
Long Yeast Grow,pioreactor02,2025-09-19T05:26:33.410Z,30.06,2025-09-19 07:26:33.410,6.1225
Long Yeast Grow,pioreactor02,2025-09-19T05:29:53.409Z,30.02,2025-09-19 07:29:53.409,6.178055555556
Long Yeast Grow,pioreactor02,2025-09-19T05:33:13.411Z,30.43,2025-09-19 07:33:13.411,6.233611111111
Long Yeast Grow,pioreactor02,2025-09-19T05:36:33.408Z,30.08,2025-09-19 07:36:33.408,6.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T05:39:53.406Z,29.99,2025-09-19 07:39:53.406,6.344722222222
