experiment,pioreactor_unit,timestamp,measured_rpm,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:31:50.862Z,507.6,2025-09-20 07:31:50.862,0.491388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:32:13.862Z,499.6,2025-09-20 07:32:13.862,0.497777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:32:36.862Z,516.5,2025-09-20 07:32:36.862,0.504166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:32:59.862Z,503.3,2025-09-20 07:32:59.862,0.510555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:33:22.862Z,492.4,2025-09-20 07:33:22.862,0.516944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:33:45.862Z,513.0,2025-09-20 07:33:45.862,0.523333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:34:08.862Z,499.0,2025-09-20 07:34:08.862,0.529722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:34:31.862Z,505.9,2025-09-20 07:34:31.862,0.536111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:34:54.862Z,500.1,2025-09-20 07:34:54.862,0.5425
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:35:17.862Z,471.2,2025-09-20 07:35:17.862,0.548888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:35:40.862Z,500.0,2025-09-20 07:35:40.862,0.555277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:36:03.862Z,499.6,2025-09-20 07:36:03.862,0.561666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:36:26.862Z,514.6,2025-09-20 07:36:26.862,0.568055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:36:49.862Z,513.1,2025-09-20 07:36:49.862,0.574444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:37:12.862Z,513.4,2025-09-20 07:37:12.862,0.580833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:37:35.862Z,500.2,2025-09-20 07:37:35.862,0.587222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:37:58.862Z,500.4,2025-09-20 07:37:58.862,0.593611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:38:21.862Z,513.9,2025-09-20 07:38:21.862,0.6
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:38:44.862Z,495.6,2025-09-20 07:38:44.862,0.606388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:39:07.862Z,511.6,2025-09-20 07:39:07.862,0.612777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:39:30.862Z,520.1,2025-09-20 07:39:30.862,0.619166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:39:53.862Z,499.3,2025-09-20 07:39:53.862,0.625555555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:40:16.862Z,510.0,2025-09-20 07:40:16.862,0.631944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:40:39.862Z,506.0,2025-09-20 07:40:39.862,0.638333333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:41:02.862Z,496.8,2025-09-20 07:41:02.862,0.644722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:41:25.862Z,494.0,2025-09-20 07:41:25.862,0.651111111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:41:48.862Z,504.9,2025-09-20 07:41:48.862,0.6575
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:42:11.862Z,494.8,2025-09-20 07:42:11.862,0.663888888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:42:34.862Z,523.1,2025-09-20 07:42:34.862,0.670277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:42:57.862Z,506.7,2025-09-20 07:42:57.862,0.676666666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:43:20.862Z,513.5,2025-09-20 07:43:20.862,0.683055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:43:43.862Z,501.3,2025-09-20 07:43:43.862,0.689444444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:44:06.862Z,502.9,2025-09-20 07:44:06.862,0.695833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:44:29.862Z,479.5,2025-09-20 07:44:29.862,0.702222222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:44:52.862Z,498.0,2025-09-20 07:44:52.862,0.708611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:45:15.862Z,500.1,2025-09-20 07:45:15.862,0.715
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:45:38.862Z,499.9,2025-09-20 07:45:38.862,0.721388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:46:01.862Z,514.7,2025-09-20 07:46:01.862,0.727777777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T05:46:24.862Z,512.8,2025-09-20 07:46:24.862,0.734166666667
