experiment,pioreactor_unit,started_at,ended_at,automation_name,settings,json_settings,started_at_localtime,ended_at_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:36:26.933000Z,2025-09-19T01:36:26.967000Z,thermostat,eyJ0YXJnZXRfdGVtcGVyYXR1cmUiOjM2LjAsInN0YXRlIjoiaW5pdCJ9,"{""target_temperature"":36.0,""state"":""init""}",2025-09-19 03:36:26.933,2025-09-19 03:36:26.967,2.287222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:26.967000Z,2025-09-19T01:38:28.425000Z,thermostat,eyJ0YXJnZXRfdGVtcGVyYXR1cmUiOjMwLjAsInN0YXRlIjoicmVhZHkifQ==,"{""target_temperature"":30.0,""state"":""ready""}",2025-09-19 03:36:26.967,2025-09-19 03:38:28.425,2.287222222222
