experiment,pioreactor_unit,timestamp,message,source,level,task,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:36:26.925Z,Starting thermostat.,app,INFO,temperature_automation,2025-09-19 03:36:26.925,2.287222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:26.960Z,"Initialized GPIO-18 using software-timing, initial frequency = 16 hz.",app,DEBUG,temperature_automation,2025-09-19 03:36:26.960,2.287222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:27.288Z,PID output = 25,app,DEBUG,temperature_automation,2025-09-19 03:36:27.288,2.2875
Long Yeast Grow,pioreactor02,2025-09-19T01:36:27.295Z,Ready.,app,INFO,temperature_automation,2025-09-19 03:36:27.295,2.2875
Long Yeast Grow,pioreactor02,2025-09-19T01:36:27.296Z,temperature_automation is blocking until disconnected.,app,DEBUG,temperature_automation,2025-09-19 03:36:27.296,2.2875
Long Yeast Grow,pioreactor02,2025-09-19T01:36:33.307Z,Progress: 3%,app,DEBUG,growth_rate_calculating,2025-09-19 03:36:33.307,2.289166666667
Long Yeast Grow,pioreactor02,2025-09-19T01:36:38.304Z,Progress: 6%,app,DEBUG,growth_rate_calculating,2025-09-19 03:36:38.304,2.290555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:36:43.305Z,Progress: 9%,app,DEBUG,growth_rate_calculating,2025-09-19 03:36:43.305,2.291944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:36:48.304Z,Progress: 11%,app,DEBUG,growth_rate_calculating,2025-09-19 03:36:48.304,2.293333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:36:53.308Z,Progress: 14%,app,DEBUG,growth_rate_calculating,2025-09-19 03:36:53.308,2.294722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:36:58.301Z,Progress: 17%,app,DEBUG,growth_rate_calculating,2025-09-19 03:36:58.301,2.296111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:37:03.301Z,Progress: 20%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:03.301,2.2975
Long Yeast Grow,pioreactor02,2025-09-19T01:37:08.301Z,Progress: 23%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:08.301,2.298888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:37:13.300Z,Progress: 26%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:13.300,2.300277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:37:18.301Z,Progress: 29%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:18.301,2.301666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:37:23.303Z,Progress: 31%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:23.303,2.303055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:37:28.300Z,Progress: 34%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:28.300,2.304444444444
Long Yeast Grow,pioreactor02,2025-09-19T01:37:33.300Z,Progress: 37%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:33.300,2.305833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:37:38.300Z,Progress: 40%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:38.300,2.307222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:37:43.301Z,Progress: 43%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:43.301,2.308611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:37:48.300Z,Progress: 46%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:48.300,2.31
Long Yeast Grow,pioreactor02,2025-09-19T01:37:53.300Z,Progress: 49%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:53.300,2.311388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:37:58.301Z,Progress: 51%,app,DEBUG,growth_rate_calculating,2025-09-19 03:37:58.301,2.312777777778
Long Yeast Grow,pioreactor02,2025-09-19T01:38:03.301Z,Progress: 54%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:03.301,2.314166666667
Long Yeast Grow,pioreactor02,2025-09-19T01:38:08.301Z,Progress: 57%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:08.301,2.315555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:38:13.301Z,Progress: 60%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:13.301,2.316944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:38:18.307Z,Progress: 63%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:18.307,2.318333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:38:23.304Z,Progress: 66%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:23.304,2.319722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:38:28.304Z,Progress: 69%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:28.304,2.321111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:38:28.426Z,Updated target_temperature from 36.0 ℃ to 30.0 ℃.,app,INFO,temperature_automation,2025-09-19 03:38:28.426,2.321111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:38:33.304Z,Progress: 71%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:33.304,2.3225
Long Yeast Grow,pioreactor02,2025-09-19T01:38:38.303Z,Progress: 74%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:38.303,2.323888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:38:43.304Z,Progress: 77%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:43.304,2.325277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:38:48.303Z,Progress: 80%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:48.303,2.326666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:38:53.303Z,Progress: 83%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:53.303,2.328055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:38:58.304Z,Progress: 86%,app,DEBUG,growth_rate_calculating,2025-09-19 03:38:58.304,2.329444444444
Long Yeast Grow,pioreactor02,2025-09-19T01:39:03.303Z,Progress: 89%,app,DEBUG,growth_rate_calculating,2025-09-19 03:39:03.303,2.330833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:39:08.303Z,Progress: 91%,app,DEBUG,growth_rate_calculating,2025-09-19 03:39:08.303,2.332222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:13.304Z,Progress: 94%,app,DEBUG,growth_rate_calculating,2025-09-19 03:39:13.304,2.333611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:39:18.303Z,Progress: 97%,app,DEBUG,growth_rate_calculating,2025-09-19 03:39:18.303,2.335
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.303Z,Progress: 100%,app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.303,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.306Z,"observed data: defaultdict(<class 'list'>, {'2': [0.012830566972376676, 0.012838723348802908, 0.012903155263042107, 0.012882437420381929, 0.012913847096232651, 0.012591516693866711, 0.012585854744467908, 0.012765200237708491, 0.012974711501505556, 0.012387471139595534, 0.012397699237481742, 0.012901394341091214, 0.012725290251213137, 0.012950092513285804, 0.013458212643657163, 0.013825130932280143, 0.013179581530334517, 0.013182142254948428, 0.01320536341074302, 0.012575762307625882, 0.012594497763024974, 0.012735635306392363, 0.013159765939260796, 0.012953493506847515, 0.012927213664298276, 0.012904971417204042, 0.01292262172699778, 0.013045268516036735, 0.012745791659976314, 0.01357495068826, 0.013275859222719509, 0.013200090132530276, 0.012770432936348776, 0.0130703127978475, 0.013086721232491565]})",app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.306,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.307Z,measured mean: {'2': 0.012930855753330984},app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.307,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.309Z,measured variances: {'2': 3.160034870026806e-08},app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.309,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.310Z,Completed OD normalization metrics.,app,INFO,growth_rate_calculating,2025-09-19 03:39:23.310,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.344Z,od_normalization_mean={'2': 0.012930855753330984},app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.344,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.345Z,od_normalization_variance={'2': 3.160034870026806e-08},app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.345,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.346Z,od_blank={'2': 0.0},app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.346,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:23.480Z,"od_std=0.0025, rate_std=0.15, obs_std=1.0",app,DEBUG,growth_rate_calculating,2025-09-19 03:39:23.480,2.336388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.305Z,"Initial state: array([0.98815034, 0.        ])",app,DEBUG,growth_rate_calculating,2025-09-19 03:39:53.305,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.309Z,"Initial covariance matrix:
array([[0.0016, 0.    ],
       [0.    , 0.0001]])",app,DEBUG,growth_rate_calculating,2025-09-19 03:39:53.309,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.310Z,"Process noise covariance matrix:
array([[1.20563272e-11, 0.00000000e+00],
       [0.00000000e+00, 4.34027778e-08]])",app,DEBUG,growth_rate_calculating,2025-09-19 03:39:53.310,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.312Z,"Observation noise covariance matrix:
array([[0.00018899]])",app,DEBUG,growth_rate_calculating,2025-09-19 03:39:53.312,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.313Z,angles=['90'],app,DEBUG,growth_rate_calculating,2025-09-19 03:39:53.313,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.314Z,ekf_outlier_std_threshold=5.0,app,DEBUG,growth_rate_calculating,2025-09-19 03:39:53.314,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.404Z,"features={'previous_heater_dc': 25.0, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [29.635416666666668, 28.40625, 27.520833333333332, 26.770833333333332, 26.135416666666668, 25.572916666666668, 25.072916666666668, 24.645833333333332, 24.25, 23.885416666666668, 23.583333333333332, 23.3125, 23.052083333333332, 22.802083333333332, 22.5625, 22.375, 22.239583333333332, 22.052083333333332, 21.895833333333332, 21.75, 21.625]}",app,DEBUG,temperature_automation,2025-09-19 03:39:53.404,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:39:53.413Z,PID output = 23.697000000000013,app,DEBUG,temperature_automation,2025-09-19 03:39:53.413,2.344722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:43:13.407Z,"features={'previous_heater_dc': 48.7, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [39.645833333333336, 37.291666666666664, 35.59375, 34.145833333333336, 32.90625, 31.822916666666668, 30.875, 30.052083333333332, 29.28125, 28.614583333333332, 28.0, 27.447916666666668, 26.947916666666668, 26.5, 26.072916666666668, 25.6875, 25.3125, 25.010416666666668, 24.71875, 24.4375, 24.1875]}",app,DEBUG,temperature_automation,2025-09-19 03:43:13.407,2.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:43:13.416Z,PID output = 13.27999999999998,app,DEBUG,temperature_automation,2025-09-19 03:43:13.416,2.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:46:33.409Z,"features={'previous_heater_dc': 61.98, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [46.125, 43.135416666666664, 40.9375, 39.104166666666664, 37.520833333333336, 36.114583333333336, 34.90625, 33.822916666666664, 32.854166666666664, 31.958333333333332, 31.166666666666668, 30.4375, 29.791666666666668, 29.1875, 28.6875, 28.1875, 27.75, 27.3125, 26.9375, 26.5625, 26.25]}",app,DEBUG,temperature_automation,2025-09-19 03:46:33.409,2.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:46:33.418Z,PID output = 12.368000000000002,app,DEBUG,temperature_automation,2025-09-19 03:46:33.418,2.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:49:53.406Z,"features={'previous_heater_dc': 74.35, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [52.020833333333336, 48.4375, 45.802083333333336, 43.614583333333336, 41.708333333333336, 40.052083333333336, 38.59375, 37.28125, 36.125, 35.083333333333336, 34.135416666666664, 33.302083333333336, 32.520833333333336, 31.822916666666668, 31.1875, 30.59375, 30.041666666666668, 29.552083333333332, 29.083333333333332, 28.677083333333332, 28.270833333333332]}",app,DEBUG,temperature_automation,2025-09-19 03:49:53.406,2.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:49:53.415Z,PID output = 6.296000000000003,app,DEBUG,temperature_automation,2025-09-19 03:49:53.415,2.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:53:13.406Z,"features={'previous_heater_dc': 80.65, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [55.75, 51.84375, 48.979166666666664, 46.604166666666664, 44.520833333333336, 42.729166666666664, 41.15625, 39.708333333333336, 38.458333333333336, 37.302083333333336, 36.28125, 35.364583333333336, 34.53125, 33.770833333333336, 33.0625, 32.4375, 31.822916666666668, 31.302083333333332, 30.8125, 30.322916666666668, 29.885416666666668]}",app,DEBUG,temperature_automation,2025-09-19 03:53:13.406,2.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:53:13.416Z,PID output = 3.4060000000000015,app,DEBUG,temperature_automation,2025-09-19 03:53:13.416,2.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:56:33.406Z,"features={'previous_heater_dc': 84.06, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [58.25, 54.15625, 51.197916666666664, 48.6875, 46.541666666666664, 44.65625, 42.96875, 41.520833333333336, 40.177083333333336, 39.0, 37.927083333333336, 36.947916666666664, 36.072916666666664, 35.25, 34.53125, 33.84375, 33.229166666666664, 32.677083333333336, 32.125, 31.625, 31.1875]}",app,DEBUG,temperature_automation,2025-09-19 03:56:33.406,2.6225
Long Yeast Grow,pioreactor02,2025-09-19T01:56:33.415Z,PID output = 0.2639999999999896,app,DEBUG,temperature_automation,2025-09-19 03:56:33.415,2.6225
Long Yeast Grow,pioreactor02,2025-09-19T01:59:53.408Z,"features={'previous_heater_dc': 84.32, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [59.3125, 55.229166666666664, 52.260416666666664, 49.739583333333336, 47.59375, 45.697916666666664, 44.010416666666664, 42.53125, 41.1875, 40.0, 38.927083333333336, 37.947916666666664, 37.0625, 36.25, 35.5, 34.8125, 34.1875, 33.614583333333336, 33.0625, 32.5625, 32.125]}",app,DEBUG,temperature_automation,2025-09-19 03:59:53.408,2.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:59:53.418Z,PID output = -1.5899999999999852,app,DEBUG,temperature_automation,2025-09-19 03:59:53.418,2.678055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:03:13.407Z,"features={'previous_heater_dc': 82.73, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [59.572916666666664, 55.552083333333336, 52.614583333333336, 50.15625, 48.03125, 46.166666666666664, 44.520833333333336, 43.041666666666664, 41.729166666666664, 40.5625, 39.489583333333336, 38.53125, 37.645833333333336, 36.854166666666664, 36.125, 35.447916666666664, 34.822916666666664, 34.260416666666664, 33.739583333333336, 33.25, 32.78125]}",app,DEBUG,temperature_automation,2025-09-19 04:03:13.407,2.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:03:13.416Z,PID output = -3.277999999999992,app,DEBUG,temperature_automation,2025-09-19 04:03:13.416,2.733611111111
Long Yeast Grow,pioreactor02,2025-09-19T02:06:33.406Z,"features={'previous_heater_dc': 79.45, 'room_temp': 22.0, 'is_rpi_zero': False, 'volume': 14.0, 'time_series_of_temp': [59.010416666666664, 55.135416666666664, 52.3125, 49.947916666666664, 47.90625, 46.104166666666664, 44.510416666666664, 43.09375, 41.833333333333336, 40.697916666666664, 39.677083333333336, 38.739583333333336, 37.90625, 37.135416666666664, 36.4375, 35.8125, 35.197916666666664, 34.635416666666664, 34.125, 33.6875, 33.25]}",app,DEBUG,temperature_automation,2025-09-19 04:06:33.406,2.789166666667
Long Yeast Grow,pioreactor02,2025-09-19T02:06:33.416Z,PID output = -4.307999999999995,app,DEBUG,temperature_automation,2025-09-19 04:06:33.416,2.789166666667
