experiment,pioreactor_unit,timestamp,measured_rpm,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:51:45.871Z,507.9,2025-09-19 03:51:45.871,2.5425
Long Yeast Grow,pioreactor02,2025-09-19T01:52:08.871Z,496.0,2025-09-19 03:52:08.871,2.548888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:52:31.871Z,402.4,2025-09-19 03:52:31.871,2.555277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:52:54.871Z,413.2,2025-09-19 03:52:54.871,2.561666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:53:17.871Z,418.1,2025-09-19 03:53:17.871,2.568055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:53:40.871Z,565.0,2025-09-19 03:53:40.871,2.574444444444
Long Yeast Grow,pioreactor02,2025-09-19T01:54:03.871Z,555.1,2025-09-19 03:54:03.871,2.580833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:54:26.871Z,545.9,2025-09-19 03:54:26.871,2.587222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:54:49.871Z,540.3,2025-09-19 03:54:49.871,2.593611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:55:12.871Z,531.9,2025-09-19 03:55:12.871,2.6
Long Yeast Grow,pioreactor02,2025-09-19T01:55:35.871Z,524.0,2025-09-19 03:55:35.871,2.606388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:55:58.871Z,521.3,2025-09-19 03:55:58.871,2.612777777778
Long Yeast Grow,pioreactor02,2025-09-19T01:56:21.871Z,512.6,2025-09-19 03:56:21.871,2.619166666667
Long Yeast Grow,pioreactor02,2025-09-19T01:56:44.871Z,503.4,2025-09-19 03:56:44.871,2.625555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:57:07.871Z,508.2,2025-09-19 03:57:07.871,2.631944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:57:30.871Z,506.3,2025-09-19 03:57:30.871,2.638333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:57:53.871Z,499.4,2025-09-19 03:57:53.871,2.644722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:58:16.871Z,511.0,2025-09-19 03:58:16.871,2.651111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:58:39.871Z,503.0,2025-09-19 03:58:39.871,2.6575
Long Yeast Grow,pioreactor02,2025-09-19T01:59:02.871Z,503.3,2025-09-19 03:59:02.871,2.663888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:59:25.871Z,496.0,2025-09-19 03:59:25.871,2.670277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:59:48.871Z,500.0,2025-09-19 03:59:48.871,2.676666666667
Long Yeast Grow,pioreactor02,2025-09-19T02:00:11.871Z,502.6,2025-09-19 04:00:11.871,2.683055555556
Long Yeast Grow,pioreactor02,2025-09-19T02:00:34.871Z,500.0,2025-09-19 04:00:34.871,2.689444444444
Long Yeast Grow,pioreactor02,2025-09-19T02:00:57.871Z,500.0,2025-09-19 04:00:57.871,2.695833333333
Long Yeast Grow,pioreactor02,2025-09-19T02:01:20.871Z,509.9,2025-09-19 04:01:20.871,2.702222222222
