experiment,pioreactor_unit,timestamp,avg_od_reading,avg_normalized_od_reading,avg_temperature_c,avg_growth_rate,avg_measured_rpm,sum_add_media_ml,sum_remove_waste_ml,sum_add_alt_media_ml,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:13:00,,,,,509.4,,,,2025-09-20 07:13:00.000,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:13:00,,,,,478.4,,,,2025-09-20 07:13:00.000,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:13:00,,,,,953.4,,,,2025-09-20 07:13:00.000,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:13:00,,,,,576.4,,,,2025-09-20 07:13:00.000,0.1775
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,,,18.0625,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,,,,,570.8,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.043556362691,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.044028573436,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.043908121437,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,,,,,555.2,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.043842040797,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.042758504562,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.043003255411,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.043078809039,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,0.04283807305,,,,,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:14:00,,,,,542.3,,,,2025-09-20 07:14:00.000,0.194166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.044700655228,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.043480087212,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.043923732175,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.043442847065,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.04382476478,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,,,,,536.4,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.043580574465,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.043629010459,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.043471758196,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20 05:15:00,0.044406282431,,,,,,,,2025-09-20 07:15:00.000,0.210833333333
