experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:20:56.650Z,UpdatedHeaterDC,delta_dc=-0.11400000000000571,"{""current_dc"": 86.9, ""delta_dc"": -0.11400000000000571, ""target_temperature"": 32.0, ""latest_temperature"": 31.92}",2025-09-20 10:20:56.650,3.309722222222
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:24:16.655Z,UpdatedHeaterDC,delta_dc=-0.07999999999999827,"{""current_dc"": 86.82, ""delta_dc"": -0.07999999999999827, ""target_temperature"": 32.0, ""latest_temperature"": 31.96}",2025-09-20 10:24:16.655,3.365277777778
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:27:36.655Z,UpdatedHeaterDC,delta_dc=-1.3359999999999714,"{""current_dc"": 85.48, ""delta_dc"": -1.3359999999999714, ""target_temperature"": 32.0, ""latest_temperature"": 32.16}",2025-09-20 10:27:36.655,3.420833333333
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:30:56.655Z,UpdatedHeaterDC,delta_dc=0.3039999999999679,"{""current_dc"": 85.78, ""delta_dc"": 0.3039999999999679, ""target_temperature"": 32.0, ""latest_temperature"": 32.06}",2025-09-20 10:30:56.655,3.476388888889
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:34:16.655Z,UpdatedHeaterDC,delta_dc=-1.091999999999973,"{""current_dc"": 84.69, ""delta_dc"": -1.091999999999973, ""target_temperature"": 32.0, ""latest_temperature"": 32.19}",2025-09-20 10:34:16.655,3.531944444444
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:37:36.655Z,UpdatedHeaterDC,delta_dc=-0.06200000000002892,"{""current_dc"": 84.63, ""delta_dc"": -0.06200000000002892, ""target_temperature"": 32.0, ""latest_temperature"": 32.13}",2025-09-20 10:37:36.655,3.5875
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:40:56.654Z,UpdatedHeaterDC,delta_dc=-0.6260000000000006,"{""current_dc"": 84.0, ""delta_dc"": -0.6260000000000006, ""target_temperature"": 32.0, ""latest_temperature"": 32.17}",2025-09-20 10:40:56.654,3.643055555556
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:44:16.656Z,UpdatedHeaterDC,delta_dc=4.022000000000002,"{""current_dc"": 88.02, ""delta_dc"": 4.022000000000002, ""target_temperature"": 32.0, ""latest_temperature"": 31.55}",2025-09-20 10:44:16.656,3.698611111111
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:47:36.655Z,UpdatedHeaterDC,delta_dc=-2.214000000000019,"{""current_dc"": 85.81, ""delta_dc"": -2.214000000000019, ""target_temperature"": 32.0, ""latest_temperature"": 32.02}",2025-09-20 10:47:36.655,3.754166666667
Yeast Grow 4 Days,pioreactor02,2025-09-20T08:50:56.696Z,UpdatedHeaterDC,delta_dc=-0.26799999999996515,"{""current_dc"": 85.54, ""delta_dc"": -0.26799999999996515, ""target_temperature"": 32.0, ""latest_temperature"": 32.05}",2025-09-20 10:50:56.696,3.809722222222
