experiment,pioreactor_unit,timestamp,channel_1,channel_2,channel_3,channel_4,channel_5,timestamp_localtime,hours_since_experiment_created
Long Yeast Grow,pioreactor02,2025-09-19T01:42:33.915Z,21.94564,0.0,0.0,0.0,0.0,2025-09-19 03:42:33.915,2.389166666667
Long Yeast Grow,pioreactor02,2025-09-19T01:42:56.880Z,22.42114,0.0,0.0,0.0,0.0,2025-09-19 03:42:56.880,2.395555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:43:13.404Z,22.42114,0.0,0.0,0.0,48.7,2025-09-19 03:43:13.404,2.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:43:13.448Z,22.42114,0.0,0.0,0.0,61.98,2025-09-19 03:43:13.448,2.400277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:43:19.915Z,22.86364,0.0,0.0,0.0,61.98,2025-09-19 03:43:19.915,2.401944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:43:42.915Z,23.26714,0.0,0.0,0.0,61.98,2025-09-19 03:43:42.915,2.408333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:44:05.915Z,23.61064,0.0,0.0,0.0,61.98,2025-09-19 03:44:05.915,2.414722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:44:28.915Z,23.25014,0.0,0.0,0.0,61.98,2025-09-19 03:44:28.915,2.421111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:44:41.973Z,23.25014,0.0,0.0,0.0,0.0,2025-09-19 03:44:41.973,2.424722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:44:51.915Z,22.94714,0.0,0.0,0.0,0.0,2025-09-19 03:44:51.915,2.4275
Long Yeast Grow,pioreactor02,2025-09-19T01:45:14.915Z,22.67914,0.0,0.0,0.0,0.0,2025-09-19 03:45:14.915,2.433888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:45:37.919Z,22.48914,0.0,0.0,0.0,0.0,2025-09-19 03:45:37.919,2.440277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:46:00.915Z,22.25164,0.0,0.0,0.0,0.0,2025-09-19 03:46:00.915,2.446666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:46:23.919Z,22.17364,0.0,0.0,0.0,0.0,2025-09-19 03:46:23.919,2.453055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:46:33.407Z,22.17364,0.0,0.0,0.0,61.98,2025-09-19 03:46:33.407,2.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:46:33.448Z,22.17364,0.0,0.0,0.0,74.35,2025-09-19 03:46:33.448,2.455833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:46:46.915Z,22.17114,0.0,0.0,0.0,74.35,2025-09-19 03:46:46.915,2.459444444444
Long Yeast Grow,pioreactor02,2025-09-19T01:47:09.919Z,22.11514,0.0,0.0,0.0,74.35,2025-09-19 03:47:09.919,2.465833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:47:32.915Z,22.04314,0.0,0.0,0.0,74.35,2025-09-19 03:47:32.915,2.472222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:47:55.915Z,22.05114,0.0,0.0,0.0,74.35,2025-09-19 03:47:55.915,2.478611111111
Long Yeast Grow,pioreactor02,2025-09-19T01:48:01.973Z,22.05114,0.0,0.0,0.0,0.0,2025-09-19 03:48:01.973,2.480277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:48:18.915Z,21.98664,0.0,0.0,0.0,0.0,2025-09-19 03:48:18.915,2.485
Long Yeast Grow,pioreactor02,2025-09-19T01:48:41.915Z,21.98514,0.0,0.0,0.0,0.0,2025-09-19 03:48:41.915,2.491388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:49:04.915Z,21.90164,0.0,0.0,0.0,0.0,2025-09-19 03:49:04.915,2.497777777778
Long Yeast Grow,pioreactor02,2025-09-19T01:49:27.915Z,21.83764,0.0,0.0,0.0,0.0,2025-09-19 03:49:27.915,2.504166666667
Long Yeast Grow,pioreactor02,2025-09-19T01:49:50.915Z,21.79164,0.0,0.0,0.0,0.0,2025-09-19 03:49:50.915,2.510555555556
Long Yeast Grow,pioreactor02,2025-09-19T01:49:53.404Z,21.79164,0.0,0.0,0.0,74.35,2025-09-19 03:49:53.404,2.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:49:53.448Z,21.79164,0.0,0.0,0.0,80.65,2025-09-19 03:49:53.448,2.511388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:50:13.915Z,21.76164,0.0,0.0,0.0,80.65,2025-09-19 03:50:13.915,2.516944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:50:36.915Z,21.76114,0.0,0.0,0.0,80.65,2025-09-19 03:50:36.915,2.523333333333
Long Yeast Grow,pioreactor02,2025-09-19T01:50:59.915Z,21.78014,0.0,0.0,0.0,80.65,2025-09-19 03:50:59.915,2.529722222222
Long Yeast Grow,pioreactor02,2025-09-19T01:51:21.972Z,21.78014,0.0,0.0,0.0,0.0,2025-09-19 03:51:21.972,2.535833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:51:22.915Z,21.78764,0.0,0.0,0.0,0.0,2025-09-19 03:51:22.915,2.536111111111
Long Yeast Grow,pioreactor02,2025-09-19T01:51:45.915Z,21.74814,0.0,0.0,0.0,0.0,2025-09-19 03:51:45.915,2.5425
Long Yeast Grow,pioreactor02,2025-09-19T01:52:08.919Z,21.76814,0.0,0.0,0.0,0.0,2025-09-19 03:52:08.919,2.548888888889
Long Yeast Grow,pioreactor02,2025-09-19T01:52:31.915Z,22.25614,0.0,0.0,0.0,0.0,2025-09-19 03:52:31.915,2.555277777778
Long Yeast Grow,pioreactor02,2025-09-19T01:52:54.915Z,22.69014,0.0,0.0,0.0,0.0,2025-09-19 03:52:54.915,2.561666666667
Long Yeast Grow,pioreactor02,2025-09-19T01:53:13.407Z,22.69014,0.0,0.0,0.0,80.65,2025-09-19 03:53:13.407,2.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:53:13.449Z,22.69014,0.0,0.0,0.0,84.06,2025-09-19 03:53:13.449,2.566944444444
Long Yeast Grow,pioreactor02,2025-09-19T01:53:17.915Z,23.09964,0.0,0.0,0.0,84.06,2025-09-19 03:53:17.915,2.568055555556
Long Yeast Grow,pioreactor02,2025-09-19T01:53:40.915Z,22.77464,0.0,0.0,0.0,84.06,2025-09-19 03:53:40.915,2.574444444444
Long Yeast Grow,pioreactor02,2025-09-19T01:54:03.915Z,22.49914,0.0,0.0,0.0,84.06,2025-09-19 03:54:03.915,2.580833333333
Long Yeast Grow,pioreactor02,2025-09-19T01:54:26.915Z,22.26964,0.0,0.0,0.0,84.06,2025-09-19 03:54:26.915,2.587222222222
Long Yeast Grow,pioreactor02,2025-09-19T01:54:41.972Z,22.26964,0.0,0.0,0.0,0.0,2025-09-19 03:54:41.972,2.591388888889
Long Yeast Grow,pioreactor02,2025-09-19T01:54:49.915Z,22.06814,0.0,0.0,0.0,0.0,2025-09-19 03:54:49.915,2.593611111111
